City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.17,clear sky,-9.8,-139.0333,Villa Enata
3,Butaritari,KI,81.5,clear sky,3.0707,172.7902,Isles Sunset Lodge
10,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
12,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
16,Akyab,MM,82.02,scattered clouds,20.15,92.9,Hotel Memory
17,Albany,US,75.63,scattered clouds,42.6001,-73.9662,
19,Sao Filipe,CV,75.54,clear sky,14.8961,-24.4956,Hotel Xaguate
20,Rikitea,PF,77.45,overcast clouds,-23.1203,-134.9692,People ThankYou
25,Pacific Grove,US,75.54,clear sky,36.6177,-121.9166,Lovers Point Inn
35,Lompoc,US,76.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
37,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
40,Bethel,US,77.85,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
56,Russell,US,80.91,scattered clouds,32.3502,-85.1999,Macs
57,Les Cayes,HT,78.39,broken clouds,18.2,-73.75,Villa Orphee
58,Guanare,VE,76.46,clear sky,9.0418,-69.7421,Nuevo Hotel Coromoto
60,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
67,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Mola Di Bari,IT,75.31,clear sky,41.0609,17.0873,Hotel Gabbiano
69,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
74,Ruwi,OM,85.23,clear sky,23.5996,58.5507,Al Falaj Hotel
76,Mumford,GH,78.62,overcast clouds,5.2618,-0.759,Spanish Villa
78,Nisia Floresta,BR,77.81,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
81,Cockburn Town,TC,80.31,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
86,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Kalasin,TH,86.05,overcast clouds,16.5,103.5,บริษัท บลูเทล จำกัด
88,Manavalakurichi,IN,78.93,overcast clouds,8.1333,77.3,Jebinrio home
90,Manggar,ID,82.13,overcast clouds,-2.8833,108.2667,Guest Hotel
93,Calabozo,VE,81.03,overcast clouds,8.9242,-67.4293,Hotel Giardini
96,Bluffton,US,78.82,few clouds,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
97,Limbang,MY,84.31,scattered clouds,4.75,115.0,Purnama Hotel
98,Cairns,AU,83.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
