City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,48.33,77,7,4.34,clear sky
1,Zapolyarnyy,RU,69.4154,30.8136,36.68,79,2,4.72,clear sky
2,Atuona,PF,-9.8,-139.0333,78.17,72,10,11.97,clear sky
3,Butaritari,KI,3.0707,172.7902,81.5,77,5,10.96,clear sky
4,Ulladulla,AU,-35.35,150.4667,52.7,52,61,19.98,broken clouds
5,Katsuura,JP,35.1333,140.3,70.74,69,100,11.16,overcast clouds
6,Wolfhagen,DE,51.3261,9.1702,48.42,88,76,3.33,light rain
7,Tasiilaq,GL,65.6145,-37.6368,37.56,94,100,2.55,overcast clouds
8,Busselton,AU,-33.65,115.3333,54.93,71,100,5.41,overcast clouds
9,Carnarvon,AU,-24.8667,113.6333,59.23,68,0,18.03,clear sky
10,Olinda,BR,-8.0089,-34.8553,78.53,94,75,4.61,broken clouds
11,Dharchula,IN,29.85,80.5333,73.44,36,0,4.21,clear sky
12,Georgetown,MY,5.4112,100.3354,76.95,88,40,0.0,scattered clouds
13,Barrow,US,71.2906,-156.7887,37.42,87,100,20.71,overcast clouds
14,Bereznik,RU,62.8551,42.7072,58.75,74,88,0.85,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,72.7,88,100,0.81,overcast clouds
16,Akyab,MM,20.15,92.9,82.02,80,35,11.59,scattered clouds
17,Albany,US,42.6001,-73.9662,75.63,75,35,4.5,scattered clouds
18,Taltal,CL,-25.4,-70.4833,55.04,84,4,1.52,clear sky
19,Sao Filipe,CV,14.8961,-24.4956,75.54,78,5,13.22,clear sky
20,Rikitea,PF,-23.1203,-134.9692,77.45,76,94,12.57,overcast clouds
21,Smithers,CA,54.7804,-127.1743,69.76,30,81,4.47,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,28.51,93,0,4.61,clear sky
23,Bluff,NZ,-46.6,168.3333,56.8,74,100,4.68,overcast clouds
24,Laguna,US,38.421,-121.4238,90.14,16,0,8.05,clear sky
25,Pacific Grove,US,36.6177,-121.9166,75.54,64,0,8.01,clear sky
26,Mataura,NZ,-46.1927,168.8643,56.48,73,100,4.5,overcast clouds
27,East London,ZA,-33.0153,27.9116,56.17,53,10,10.54,clear sky
28,Haines Junction,CA,60.7522,-137.5108,68.77,23,15,8.21,few clouds
29,Kodiak,US,57.79,-152.4072,49.51,71,100,8.05,overcast clouds
30,Pinheiro Machado,BR,-31.5783,-53.3811,34.05,87,15,1.01,few clouds
31,Ponta Delgada,PT,37.7333,-25.6667,61.52,77,40,12.66,scattered clouds
32,Calama,CL,-22.4667,-68.9333,42.96,51,1,2.86,clear sky
33,Jamestown,US,42.097,-79.2353,74.84,52,0,1.01,clear sky
34,Hobart,AU,-42.8794,147.3294,52.02,77,75,17.27,light intensity shower rain
35,Lompoc,US,34.6391,-120.4579,76.69,62,0,32.01,clear sky
36,Izhma,RU,65.0083,53.9113,49.96,63,34,5.35,scattered clouds
37,Saint George,US,37.1041,-113.5841,84.63,12,0,10.0,clear sky
38,Saint-Philippe,RE,-21.3585,55.7679,71.19,71,46,12.26,scattered clouds
39,Abbeville,FR,50.1,1.8333,55.36,95,3,7.05,clear sky
40,Bethel,US,41.3712,-73.414,77.85,69,20,5.75,few clouds
41,Belyy Yar,RU,53.6039,91.3903,63.86,59,0,0.0,clear sky
42,Rio Grande,BR,-32.035,-52.0986,46.78,62,77,5.41,broken clouds
43,Sitka,US,57.0531,-135.33,51.69,87,100,3.44,overcast clouds
44,Marau,BR,-28.4492,-52.2,39.02,94,1,4.54,clear sky
45,Port Alfred,ZA,-33.5906,26.891,56.05,68,14,13.78,few clouds
46,Opuwo,NA,-18.0607,13.84,58.32,29,68,12.41,broken clouds
47,Kehl,DE,48.573,7.8152,58.01,69,0,1.14,clear sky
48,New Richmond,US,45.123,-92.5366,63.19,67,75,18.41,broken clouds
49,Teguise,ES,29.0605,-13.564,66.0,86,0,3.06,clear sky
50,Ushuaia,AR,-54.8,-68.3,36.7,94,100,1.92,overcast clouds
51,Mahebourg,MU,-20.4081,57.7,71.89,60,40,11.5,scattered clouds
52,Saldanha,ZA,-33.0117,17.9442,54.79,70,0,2.44,clear sky
53,Severo-Kurilsk,RU,50.6789,156.125,44.24,77,57,3.56,broken clouds
54,Vostok,RU,46.4856,135.8833,55.13,65,87,1.95,overcast clouds
55,Ankazobe,MG,-18.3167,47.1167,49.95,89,0,3.11,clear sky
56,Russell,US,32.3502,-85.1999,80.91,94,40,3.44,scattered clouds
57,Les Cayes,HT,18.2,-73.75,78.39,83,63,4.27,broken clouds
58,Guanare,VE,9.0418,-69.7421,76.46,72,7,3.67,clear sky
59,Olafsvik,IS,64.8945,-23.7142,48.56,91,72,5.23,broken clouds
60,Ambon,ID,-3.6954,128.1814,86.14,74,20,3.44,few clouds
61,Melilla,ES,35.2937,-2.9383,70.18,52,0,2.3,clear sky
62,Tingo Maria,PE,-9.2895,-76.0088,69.01,98,100,2.28,overcast clouds
63,Antofagasta,CL,-23.65,-70.4,56.98,83,58,0.67,broken clouds
64,Leshukonskoye,RU,64.8989,45.7622,50.27,63,7,4.0,clear sky
